tokenised_cif,account_number,link_type
283a45b5-b0ee-45bd-8372-d5f39f3044be,45-1058-1908051-61,Child
f59ff690-569d-4b21-9ab9-6d13aab3a0e6,85-0575-5994689-20,Child
4808d0bf-9a18-4c51-9fcf-4bd7c5a04110,29-8141-0840349-05,Child
4d140bc9-42d9-4a94-8548-fe52e10e2c63,68-6894-6363208-27,Owner
30337dd1-13ad-435b-ac28-e18a006199fa,62-6237-3609956-47,Owner
e23b6b08-de29-4415-9b66-69129150dbeb,32-6923-4340823-93,Owner
1a945514-301e-4c2e-b680-283148f60476,76-3492-6558630-14,Child
1892527d-6de0-4827-8a60-5a5a4a1bc5c6,77-1482-1058109-61,Owner
6ca50147-3e70-499c-b440-781f5f2710c4,45-3743-1356251-00,Owner
01700e12-4b1a-4406-a171-9a93aefd144c,94-8121-8549021-82,Child
5e44ac7d-95ad-4212-8425-cded7ffffab1,54-6593-9083033-79,Owner
ec7f5929-e0b2-4272-8a0b-f6ca4a4273ca,91-5983-1984682-99,Owner
813d52bf-c0ea-438d-98b0-11c6de273702,95-5430-7456578-32,Child
0484cee1-2c2a-4c59-bc13-738a2dcd7db8,60-2995-4359176-21,Child
38fb9809-e1d4-4582-a4e8-0c594fd3a149,81-2993-1752560-86,Owner
2d1ca30e-cca1-47e5-ab85-3ce14ca24014,75-3278-4751407-75,Child
97ef66f5-fa41-4a30-a531-37fbd957f66c,87-4469-3730764-66,Owner
9e4715f9-27a9-4d5f-ab7f-201837fcdc40,13-5878-4098946-65,Owner
31de2674-62ee-44cc-8fb8-fcaceb7fa6d9,85-6575-5908298-44,Owner
19046b9f-e946-4287-b144-cfa4663efb75,42-4016-3020425-83,Owner
cc572fe7-9244-49fa-bca4-288ae10ff845,77-1288-9393042-54,Owner
06424818-f6c4-4912-a531-be50530c0467,77-1482-1058109-61,Child
31bbb962-d538-4093-95cb-3770929f6d02,14-8428-8915632-58,Child
f6c06998-283c-468d-abda-90e03d4e63ec,84-1437-7710750-19,Child
28320469-13db-4ca2-8dfb-659745aa8548,42-9977-9050450-83,Child
7aeff524-4040-44f5-b0a9-c2a4234f32dc,19-1161-2561274-17,Owner
350e13c1-1fd8-49c9-801a-67ce26755170,60-2995-4359176-21,Owner
3f18545f-7c04-484d-ad8f-ba185fb6b70d,90-4346-1013125-76,Owner
665b1081-86de-425d-8fd9-f17073a61509,87-2560-2587259-47,Owner
3c2deeed-ee89-4a27-adcb-ed7dea723ab5,36-5600-1816007-36,Child
f31eecc7-d712-4656-b4e2-ef298dec05c7,90-5288-2472163-91,Child
8f6a407b-6a8d-4355-938e-36bfeabce26a,53-7573-1984310-55,Child
9e684703-4b27-4b8a-89f4-5f0af47fb27a,86-5452-4044824-89,Owner
49b32654-0273-472d-b7db-b38ee050caea,28-1846-0360219-00,Child
be7e8d41-ad8d-4cee-857f-7504afd1e62d,26-5210-3340590-14,Owner
2332c597-983a-4ccf-bab3-f0f01d31e5b9,72-5891-0781469-82,Owner
f18c9461-67e6-4068-b395-82cc222ad44a,04-4889-4778975-35,Child
47be9a32-0635-4ad4-ab6b-17d96a163cbc,73-3618-4817562-26,Owner
7e62935f-1baa-4e4b-976d-19366914fa09,86-3470-7682085-72,Child
132d2692-72b7-42be-84a5-59e07b609c31,13-5878-4098946-65,Child
d68b188f-b216-431a-bfb3-4d58e0f3d257,90-4617-2014538-96,Child
0c0ec876-74c9-4196-a8b0-69f6d93ba18d,12-1442-4361551-73,Owner
dfca0506-3f43-464f-a974-0afd6f97c6fc,90-4204-8484886-73,Owner
25cd385e-719c-40dd-9108-2ec94d16c4aa,19-1507-4894059-64,Child
18cbf273-141f-4177-8a05-d37f1019ea0e,67-2929-8756203-33,Child
a27b2fed-0c40-44e3-bb42-2a3afc362f5e,87-6875-3705176-73,Child
7b4bdaf9-2271-479e-aea8-731d7def1577,42-1332-4877498-86,Child
742c0359-bde5-4eed-9059-661291e5ca52,86-9020-9247355-73,Child
73791c11-5fe3-49d4-b3a2-59cab33c1ebf,08-0650-6814832-40,Child
3d8008c1-4396-4be6-b02b-0bfd82263cff,31-2455-0154372-36,Owner
3de38956-87b8-49b8-8e44-9573097a4b64,05-4302-6272098-23,Owner
2a52e392-5aba-4b2d-b236-2fb2b864eb46,21-8980-6411860-57,Child
42e2cdd8-c736-409c-9ded-8553c0944fbd,05-3648-5682576-61,Child
ac12663e-28c9-458a-be00-5fafbe3f3dc7,52-3921-0106213-12,Owner
56f2654a-caa2-46f5-8692-38fb6aa68b9b,64-8151-1012614-83,Child
7abff473-14fc-485f-9cdd-b1d32cc44069,38-3842-9529327-17,Child
