tokenised_cif,account_type,account_balance,account_branch,account_closure_datetime,account_hold_flag,account_name,account_number,account_open_datetime,available_balance,currency,product_name,product_number
65ef7768-3acc-4a23-bc86-5016987d935e,diners-club-carte-blanche,8081.68,3136,,0,Kathrine Golde,87-4469-3730764-66,2012-02-04T12:22:18Z,6375.22,NGN,n/a,d05f41d8-c146-4998-90f7-d8bce0925924
65ef7768-3acc-4a23-bc86-5016987d935e,diners-club-us-ca,4350.35,3427,,0,Barb Bartelet,81-9569-9449578-55,2006-03-30T08:26:57Z,1172.56,CNY,Basic Industries,e768d2f1-463e-4842-9aa4-fbf03292a4d3
65ef7768-3acc-4a23-bc86-5016987d935e,instapayment,6369.48,3617,2003-07-16T22:51:55Z,1,Noach Stuckley,67-2929-8756203-33,2022-10-22T01:46:51Z,6312.21,KRW,n/a,b4a1c321-0a69-40a6-b29a-e5307f4b2e38
65ef7768-3acc-4a23-bc86-5016987d935e,jcb,5942.56,3428,2010-01-29T22:47:02Z,1,Palmer Muat,59-8579-2520532-81,2009-05-01T09:23:12Z,4338.99,TMT,Transportation,ebd63711-049d-4b7d-b182-0e8c0a88a3e5
65ef7768-3acc-4a23-bc86-5016987d935e,solo,9552.34,3136,,0,Meggy Syder,90-4346-1013125-76,2022-05-28T18:15:27Z,4234.56,USD,Basic Industries,a06479eb-808b-4197-bf81-2a879e57b846
f313c6d4-2895-45a4-b5eb-dfaefce971c3,instapayment,7765.74,3233,,0,Stephannie Sanderson,52-3921-0106213-12,2007-10-04T09:50:23Z,9254.91,CNY,n/a,9cd46bdd-6ce3-499b-acc2-1fcacd14d44f
f313c6d4-2895-45a4-b5eb-dfaefce971c3,jcb,6252.13,3436,2004-05-24T16:06:25Z,0,Vaclav Tysack,42-1332-4877498-86,2010-07-04T11:00:11Z,6431.48,ZAR,n/a,b5f1aa67-6195-418d-b240-7003e993576f
f313c6d4-2895-45a4-b5eb-dfaefce971c3,laser,1011.38,3011,2000-06-27T14:41:41Z,0,Mildrid Trazzi,67-8823-3531414-29,2009-09-02T17:43:26Z,278.57,CNY,Consumer Services,605025ee-f825-4cc0-8692-f00398710b0b
f313c6d4-2895-45a4-b5eb-dfaefce971c3,maestro,3366.96,3059,2008-02-22T01:21:52Z,1,Marcia Aleksandrov,47-6144-1221440-39,2016-04-04T00:14:29Z,7875.77,EUR,n/a,eb46af24-a681-4503-8d3f-31a3608be69a
f313c6d4-2895-45a4-b5eb-dfaefce971c3,visa-electron,7249.36,3035,2015-06-29T21:48:16Z,1,Mirelle Pachmann,49-8182-7243268-35,2012-12-29T12:45:54Z,8811.29,IDR,Health Care,f37f8f18-aa36-441c-8ee5-91c9e0927fe0
04ea83e7-afde-45eb-8aec-f03a9373bfab,diners-club-carte-blanche,56.19,3011,2016-01-08T02:14:03Z,0,Deane Bracknall,04-2000-4833601-41,2016-08-15T21:05:52Z,7797.53,AZN,Finance,6f8efb88-5daf-4b3d-b07d-112782850bdf
04ea83e7-afde-45eb-8aec-f03a9373bfab,diners-club-enroute,5834.56,3049,2008-09-10T15:00:35Z,1,Javier Annies,85-6575-5908298-44,2021-05-01T19:44:47Z,9021.12,RSD,Public Utilities,cfc66528-2eff-4cac-9900-4a3a86f0de39
04ea83e7-afde-45eb-8aec-f03a9373bfab,jcb,3382.79,3428,2007-03-25T17:23:07Z,0,Kenna Tiltman,90-4987-2047521-92,2017-04-03T10:35:15Z,4908.33,DOP,n/a,9ef40e05-a36d-44c0-9db9-0a8fb8043eec
04ea83e7-afde-45eb-8aec-f03a9373bfab,maestro,3162.64,3428,2017-04-25T13:38:42Z,0,Patsy O'Gready,50-5686-4593809-77,2009-01-21T23:41:50Z,8438.81,THB,Technology,007ed6e5-17b9-49ca-a2e7-102b7cd962c0
