account_number,account_type,account_balance,account_branch,account_closure_datetime,account_hold_flag,account_name,account_number_tokenised,account_open_datetime,available_balance,currency,product_name,product_number,relationships/0/key,relationships/0/value/tokenised_cif,relationships/0/value/cif_number,relationships/0/value/link_type,relationships/1/key,relationships/1/value/tokenised_cif,relationships/1/value/cif_number,relationships/1/value/link_type
32-9722-6329656-17,jcb,7296,3428,2022-06-17T18:45:42Z,false,Clay Humphery,9a99dd1b-6347-4ac5-aaba-ea8adf3d3ab5,2007-03-11T20:37:21Z,5759,RSD,Aluminum,f588af75-4522-4f80-b452-b8e95c8a05f0,103c2634-2c06-4554-ab4b-45154c462453,103c2634-2c06-4554-ab4b-45154c462453,378639,Owner,f7c6d56b-cac5-450c-9e0c-7792abc45020,f7c6d56b-cac5-450c-9e0c-7792abc45020,257746,Joint
14-0066-4240316-14,jcb,2364,3035,,false,Ivor Lindenman,4c712166-af4d-4901-ae52-702f83ce6d72,2014-10-10T23:08:44Z,7995,BRL,Vinyl,21e67e92-5517-439c-bb5e-c0c02695c779,2728dbd5-f19d-431f-9258-85833e3f7ab1,2728dbd5-f19d-431f-9258-85833e3f7ab1,326495,Joint,65ef7768-3acc-4a23-bc86-5016987d935e,65ef7768-3acc-4a23-bc86-5016987d935e,756653,Owner
04-6741-4770098-24,diners-club-enroute,5167,3427,2022-02-02T08:10:08Z,false,Karil Sarfas,7c19e251-bc71-4a9d-a76b-5a21fecc04d3,2005-10-14T15:55:00Z,370,CNY,Glass,86898225-36e0-4549-b3f9-247627dd55fd,4a4190ca-962c-4073-9f38-ea4491a41476,4a4190ca-962c-4073-9f38-ea4491a41476,057447,Owner,a07d54ef-b1e8-46c4-8923-e962f204ce95,a07d54ef-b1e8-46c4-8923-e962f204ce95,054005,Joint
78-1391-1332316-11,maestro,9880,3035,2022-06-10T11:00:08Z,true,Melitta Ferrarone,23a3e7f5-f92c-471d-a283-a435b129707b,2008-06-29T13:15:25Z,2405,CNY,Vinyl,afce7b4b-2e74-469e-bd3c-edc6aa1e6cb3,6374ea5f-129f-48a9-9fe4-e9871380a528,6374ea5f-129f-48a9-9fe4-e9871380a528,986530,Owner,c3fdc449-4538-460e-982b-09a0a2711def,c3fdc449-4538-460e-982b-09a0a2711def,144466,Joint
49-8903-1984821-85,diners-club-enroute,7865,3617,,true,Cord Rodmell,9e5ea358-2a3a-4678-95a0-7ac640e4fd82,2006-10-08T05:36:15Z,2309,RUB,Plexiglass,27b8093e-0565-4d31-96ac-49c708095b23,31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,31dbdf8b-85b0-4a0c-8fa2-9d97b400448e,946997,Owner,d508b428-3775-4028-bfb8-5dbcc276d668,d508b428-3775-4028-bfb8-5dbcc276d668,839511,Joint
14-4352-3573553-90,jcb,8213,3011,2022-02-08T20:07:06Z,true,Bryn Yandell,b42b1898-362d-481b-b81b-18bf964402c9,2019-12-05T22:56:20Z,3703,VND,Plexiglass,fbd5a69a-8098-4fea-9a28-aee4b613637c,9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,9b65b4d9-dcba-44f7-8a0f-06c2f59ae952,854330,Owner,a2266b05-8df3-42b0-a044-b848b0002aa4,a2266b05-8df3-42b0-a044-b848b0002aa4,311870,Joint
99-1078-3968951-91,diners-club-enroute,4951,3049,,false,Prent Franca,df836c5a-8967-42d4-9570-9dcb866f10f3,2020-08-11T01:43:53Z,9117,USD,Granite,13e6c8a9-c06b-40f2-b08f-a76d0579b9d2,73bc5604-9caa-4765-8538-d19fe28e128c,73bc5604-9caa-4765-8538-d19fe28e128c,657146,Joint,adc40854-1080-4540-9272-aaf479d2e051,adc40854-1080-4540-9272-aaf479d2e051,981504,Owner
09-4302-0529609-73,jcb,5644,3233,2022-05-01T19:38:48Z,true,Gard McClintock,18b20c98-1525-4c9f-b9a8-2d8493b4e094,2012-06-14T16:42:55Z,3037,KES,Vinyl,fcb68477-2a5f-47ec-bb2f-d2d90848fa53,969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,969ab8ba-8a5d-4d96-aa33-d1f23d7c260f,380528,Owner,ddddd2da-2b8f-4336-9aef-9a6d618100b1,ddddd2da-2b8f-4336-9aef-9a6d618100b1,796490,Joint
98-7406-4818451-27,jcb,357,3059,2023-01-27T23:08:08Z,false,Hersh Sercombe,7ff577e9-a8ae-47e7-88ff-3852e20d9df3,2016-03-21T15:35:22Z,1230,PYG,Wood,96a80061-466e-4d42-a2b2-fc5f364e765a,0c37b67d-6a43-4560-9ae8-2e29f2ffaba5,0c37b67d-6a43-4560-9ae8-2e29f2ffaba5,107460,Joint,6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,6fdf1e63-9e6b-4706-9a54-76a0ca249fb3,934589,Owner
94-8255-2599225-06,bankcard,2805,3428,2022-03-13T20:21:11Z,true,Matteo Rupert,82919853-2c91-4b2f-a125-174846d9d34b,2020-04-06T17:54:10Z,9023,CNY,Wood,072b0fe0-8d02-483f-93a0-b5d51568339c,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,33b4b555-a5fa-4c84-95d3-aa9777aa33d1,223657,Owner,e99e3c52-8798-44a2-9545-218ed6ad4132,e99e3c52-8798-44a2-9545-218ed6ad4132,092643,Joint
